+0000.9999999999999993,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000
+0000.9998003112076552,+0000.0000987440978751,+0000.0000009396884050,+0000.0000500012527889,+0000.0000500012527889,+0000.0000000025004585,+0000.0000000000000277,+0000.0000000000000001
+0000.9992047737545741,+0000.0003828584825800,+0000.0000124373845476,+0000.0001999451885854,+0000.0001999451885855,+0000.0000000399993585,+0000.0000000000017525,+0000.0000000000000158
+0000.9982207957518612,+0000.0008341338381112,+0000.0000455614507374,+0000.0004496532547660,+0000.0004496532547661,+0000.0000002024297368,+0000.0000000000196690,+0000.0000000000003516
+0000.9968532653952602,+0000.0014580719115478,+0000.0000903633795970,+0000.0007988298594889,+0000.0007988298594892,+0000.0000006394828848,+0000.0000000001088408,+0000.0000000000028905
+0000.9951012436449596,+0000.0022828393480805,+0000.0001202303190082,+0000.0012470629744637,+0000.0012470629744641,+0000.0000015603155327,+0000.0000000004099144,+0000.0000000000135763
+0000.9929610035436012,+0000.0033227201289162,+0000.0001253952552470,+0000.0017938233365115,+0000.0017938233365122,+0000.0000032331415206,+0000.0000000012130893,+0000.0000000000446014
+0000.9904324050307459,+0000.0045498353752167,+0000.0001348436050642,+0000.0024384640622553,+0000.0024384640622562,+0000.0000059847064257,+0000.0000000030425339,+0000.0000000001155013
+0000.9875223086055956,+0000.0059150146205144,+0000.0001920249600235,+0000.0031802225769601,+0000.0031802225769612,+0000.0000101996459452,+0000.0000000067580980,+0000.0000000002559014
+0000.9842416629466051,+0000.0074018226010040,+0000.0003037316436830,+0000.0040182244466994,+0000.0040182244467008,+0000.0000163197331670,+0000.0000000136685858,+0000.0000000005135542
+0000.9805991443825998,+0000.0090518354631335,+0000.0004211774814612,+0000.0049514865149729,+0000.0049514865149746,+0000.0000248430207038,+0000.0000000256566804,+0000.0000000009654731
+0000.9765976138897386,+0000.0109235107284340,+0000.0004846707465385,+0000.0059789173542337,+0000.0059789173542358,+0000.0000363228789727,+0000.0000000453242914,+0000.0000000017235543
+0000.9722368586171118,+0000.0130217899388868,+0000.0004912731669323,+0000.0070993161274638,+0000.0070993161274663,+0000.0000513669269921,+0000.0000000761649768,+0000.0000000029301695
+0000.9675198807206118,+0000.0152773259990809,+0000.0005092834370494,+0000.0083113732405799,+0000.0083113732405829,+0000.0000706358541419,+0000.0000001227544334,+0000.0000000047535188
+0000.9624565142147044,+0000.0176081896389804,+0000.0006129058946626,+0000.0096136748864837,+0000.0096136748864871,+0000.0000948421402063,+0000.0000001909385821,+0000.0000000073998926
+0000.9570608089298471,+0000.0200054604922452,+0000.0007992633111390,+0000.0110047097115172,+0000.0110047097115211,+0000.0001247486874102,+0000.0000002880110972,+0000.0000000111452223
+0000.9513447712142771,+0000.0225481153268917,+0000.0009797600002812,+0000.0124828734108769,+0000.0124828734108814,+0000.0001611673734452,+0000.0000004229010590,+0000.0000000163622865
+0000.9453146193983766,+0000.0253206834603168,+0000.0010661717473444,+0000.0140464689773738,+0000.0140464689773788,+0000.0002049575219077,+0000.0000006064022227,+0000.0000000235150783
+0000.9389732009079521,+0000.0283138462642570,+0000.0010676340018184,+0000.0156937049881166,+0000.0156937049881222,+0000.0002570242800066,+0000.0000008514453739,+0000.0000000331243523
+0000.9323261358729803,+0000.0314168464307776,+0000.0010920878493953,+0000.0174226969127944,+0000.0174226969128006,+0000.0003183169026515,+0000.0000011733694796,+0000.0000000457491198
+0000.9253856053843885,+0000.0345204541353339,+0000.0012395135457026,+0000.0192314739034082,+0000.0192314739034150,+0000.0003898269599624,+0000.0000015901415615,+0000.0000000620262273
+0000.9181680598365002,+0000.0376287913478291,+0000.0014923808998823,+0000.0211179880701891,+0000.0211179880701966,+0000.0004725864927433,+0000.0000021225311632,+0000.0000000827514956
+0000.9106881218834348,+0000.0408584000875067,+0000.0017226677930355,+0000.0230801204353625,+0000.0230801204353708,+0000.0005676661267030,+0000.0000027943110061,+0000.0000001089275800
+0000.9029546756184689,+0000.0443149682154222,+0000.0018190470664786,+0000.0251156808482237,+0000.0251156808482327,+0000.0006761731330045,+0000.0000036325498634,+0000.0000001417203052
+0000.8949729363945724,+0000.0479706845008740,+0000.0018074685717491,+0000.0272224053930360,+0000.0272224053930458,+0000.0007992494151067,+0000.0000046679719672,+0000.0000001823596477
+0000.8867503935644345,+0000.0516749577929433,+0000.0018344960856484,+0000.0293979578834590,+0000.0293979578834696,+0000.0009380694216046,+0000.0000059352684524,+0000.0000002320999875
+0000.8783007388195981,+0000.0552976422152482,+0000.0020201385334868,+0000.0316399384153213,+0000.0316399384153327,+0000.0010938380145909,+0000.0000074732706598,+0000.0000002923157613
+0000.8696419240938817,+0000.0588609587478169,+0000.0023278493026291,+0000.0339458949116801,+0000.0339458949116923,+0000.0012677883313259,+0000.0000093250332535,+0000.0000003646677196
