+0000.0000000000000000,+0000.0000000000000000,+0001.0000000000000000
+0000.0000000000000000,+0000.0000000000000000,+0001.0000000000000000
+0000.0000000000000011,+0000.0000000000000000,+0000.9999999999999989
+0000.0000000000000127,+0000.0000000000000000,+0000.9999999999999875
+0000.0000000000000711,+0000.0000000000000000,+0000.9999999999999292
+0000.0000000000002712,+0000.0000000000000000,+0000.9999999999997286
+0000.0000000000008097,+0000.0000000000000002,+0000.9999999999991900
+0000.0000000000020412,+0000.0000000000000006,+0000.9999999999979580
+0000.0000000000045468,+0000.0000000000000018,+0000.9999999999954514
+0000.0000000000092145,+0000.0000000000000047,+0000.9999999999907807
+0000.0000000000173320,+0000.0000000000000108,+0000.9999999999826571
+0000.0000000000306916,+0000.0000000000000232,+0000.9999999999692853
+0000.0000000000517065,+0000.0000000000000466,+0000.9999999999482468
+0000.0000000000835402,+0000.0000000000000884,+0000.9999999999163717
+0000.0000000001302455,+0000.0000000000001598,+0000.9999999998695945
+0000.0000000001969173,+0000.0000000000002774,+0000.9999999998028051
+0000.0000000002898544,+0000.0000000000004646,+0000.9999999997096808
+0000.0000000004167346,+0000.0000000000007543,+0000.9999999995825108
+0000.0000000005867986,+0000.0000000000011911,+0000.9999999994120102
+0000.0000000008110468,+0000.0000000000018347,+0000.9999999991871183
+0000.0000000011024442,+0000.0000000000027640,+0000.9999999988947919
+0000.0000000014761377,+0000.0000000000040814,+0000.9999999985197809
+0000.0000000019496821,+0000.0000000000059181,+0000.9999999980443998
+0000.0000000025432757,+0000.0000000000084403,+0000.9999999974482841
+0000.0000000032800065,+0000.0000000000118562,+0000.9999999967081373
+0000.0000000041861062,+0000.0000000000164242,+0000.9999999957974696
+0000.0000000052912136,+0000.0000000000224619,+0000.9999999946863245
+0000.0000000066286471,+0000.0000000000303567,+0000.9999999933409959
+0000.0000000082356842,+0000.0000000000405772,+0000.9999999917237389
+0000.0000000101538499,+0000.0000000000536863,+0000.9999999897924640
+0000.0000000124292118,+0000.0000000000703557,+0000.9999999875004326
+0000.0000000151126834,+0000.0000000000913819,+0000.9999999847959347
+0000.0000000182603330,+0000.0000000001177041,+0000.9999999816219629
+0000.0000000219336998,+0000.0000000001504240,+0000.9999999779158766
+0000.0000000262001157,+0000.0000000001908264,+0000.9999999736090579
+0000.0000000311330331,+0000.0000000002404038,+0000.9999999686265632
+0000.0000000368123575,+0000.0000000003008810,+0000.9999999628867614
+0000.0000000433247850,+0000.0000000003742437,+0000.9999999563009712
+0000.0000000507641447,+0000.0000000004627681,+0000.9999999487730875
+0000.0000000592317440,+0000.0000000005690540,+0000.9999999401992018
+0000.0000000688367189,+0000.0000000006960599,+0000.9999999304672212
+0000.0000000796963860,+0000.0000000008471410,+0000.9999999194564729
+0000.0000000919365981,+0000.0000000010260897,+0000.9999999070373125
+0000.0000001056921012,+0000.0000000012371798,+0000.9999998930707192
+0000.0000001211068943,+0000.0000000014852134,+0000.9999998774078924
+0000.0000001383345893,+0000.0000000017755701,+0000.9999998598898406
+0000.0000001575387723,+0000.0000000021142614,+0000.9999998403469662
+0000.0000001788933652,+0000.0000000025079866,+0000.9999998185986482
+0000.0000002025829869,+0000.0000000029641939,+0000.9999997944528193
+0000.0000002288033142,+0000.0000000034911437,+0000.9999997677055424
+0000.0000002577614408,+0000.0000000040979768,+0000.9999997381405826
+0000.0000002896762357,+0000.0000000047947864,+0000.9999997055289780
+0000.0000003247786986,+0000.0000000055926932,+0000.9999996696286082
+0000.0000003633123129,+0000.0000000065039261,+0000.9999996301837609
+0000.0000004055333959,+0000.0000000075419058,+0000.9999995869246983
+0000.0000004517114448,+0000.0000000087213338,+0000.9999995395672217
+0000.0000005021294787,+0000.0000000100582856,+0000.9999994878122357
+0000.0000005570843767,+0000.0000000115703080,+0000.9999994313453153
+0000.0000006168872091,+0000.0000000132765221,+0000.9999993698362688
+0000.0000006818635651,+0000.0000000151977302,+0000.9999993029387046
+0000.0000007523538726,+0000.0000000173565284,+0000.9999992302895993
+0000.0000008287137121,+0000.0000000197774237,+0000.9999991515088643
+0000.0000009113141232,+0000.0000000224869565,+0000.9999990661989204
+0000.0000010005419040,+0000.0000000255138281,+0000.9999989739442678
+0000.0000010967999011,+0000.0000000288890342,+0000.9999988743110648
+0000.0000012005072921,+0000.0000000326460029,+0000.9999987668467051
+0000.0000013120998585,+0000.0000000368207389,+0000.9999986510794029
+0000.0000014320302487,+0000.0000000414519729,+0000.9999985265177787
+0000.0000015607682312,+0000.0000000465813173,+0000.9999983926504518
+0000.0000016988009373,+0000.0000000522534263,+0000.9999982489456367
+0000.0000018466330923,+0000.0000000585161637,+0000.9999980948507442
+0000.0000020047872351,+0000.0000000654207749,+0000.9999979297919902
+0000.0000021738039266,+0000.0000000730220661,+0000.9999977531740075
+0000.0000023542419442,+0000.0000000813785885,+0000.9999975643794675
+0000.0000025466784650,+0000.0000000905528293,+0000.9999973627687060
+0000.0000027517092342,+0000.0000001006114086,+0000.9999971476793572
+0000.0000029699487207,+0000.0000001116252821,+0000.9999969184259972
+0000.0000032020302576,+0000.0000001236699506,+0000.9999966742997917
+0000.0000034486061689,+0000.0000001368256755,+0000.9999964145681559
+0000.0000037103478801,+0000.0000001511776999,+0000.9999961384744200
+0000.0000039879460148,+0000.0000001668164773,+0000.9999958452375082
+0000.0000042821104735,+0000.0000001838379051,+0000.9999955340516217
+0000.0000045935704978,+0000.0000002023435656,+0000.9999952040859370
+0000.0000049230747172,+0000.0000002224409726,+0000.9999948544843104
