+0001.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000
+0000.9995003561606749,+0000.0000987341792529,+0000.0000009396410517,+0000.0003999700190204
+0000.9980059402948251,+0000.0003827031142525,+0000.0000124348132479,+0000.0015989217776741
+0000.9955271047088893,+0000.0008333660292771,+0000.0000455391548868,+0000.0035939901069466
+0000.9920736122384937,+0000.0014556869352438,+0000.0000902771465186,+0000.0063804236797439
+0000.9876513212323992,+0000.0022770573292731,+0000.0001200196886796,+0000.0099516017496483
+0000.9822652253956083,+0000.0033107371547905,+0000.0001249930596843,+0000.0142990443899165
+0000.9759257920619463,+0000.0045276540385392,+0000.0001341231966655,+0000.0194124307028487
+0000.9686522876095919,+0000.0058773683981135,+0000.0001907039407487,+0000.0252796400515455
+0000.9604697770200276,+0000.0073420359395620,+0000.0003013742381178,+0000.0318868128022926
+0000.9514027388256796,+0000.0089614678811545,+0000.0004173836307308,+0000.0392184096624348
+0000.9414715454105510,+0000.0107919291189274,+0000.0004792717399342,+0000.0472572537305872
+0000.9306951748017754,+0000.0128360624723129,+0000.0004841987379741,+0000.0559845639879373
+0000.9190973421041463,+0000.0150225890734281,+0000.0005000619236965,+0000.0653800068987287
+0000.9067098932458120,+0000.0172680200243735,+0000.0006003044410575,+0000.0754217822887567
+0000.8935700605989781,+0000.0195615435810173,+0000.0007816668657163,+0000.0860867289542880
+0000.8797142524691587,+0000.0219791781681671,+0000.0009561526931753,+0000.0973504166694989
+0000.8651744134821141,+0000.0246017002866290,+0000.0010366793816762,+0000.1091872068495807
+0000.8499803743976780,+0000.0274166234199288,+0000.0010327014121835,+0000.1215703007702095
+0000.8341656715159318,+0000.0303117393600486,+0000.0010507751204608,+0000.1344718140035584
+0000.8177709488980798,+0000.0331774225195983,+0000.0011887332632320,+0000.1478628953190898
+0000.8008415268301456,+0000.0360162214461993,+0000.0014283859041486,+0000.1617138658195065
+0000.7834214972419488,+0000.0389404292816118,+0000.0016437403735951,+0000.1759943331028440
+0000.7655500581570412,+0000.0420501762669873,+0000.0017265055256031,+0000.1906732600503679
+0000.7472634859599308,+0000.0453142452590357,+0000.0017032528865939,+0000.2057190158944394
+0000.7286005536508136,+0000.0485827804741943,+0000.0017172063258489,+0000.2210994595491431
+0000.7096058849065892,+0000.0517282559548110,+0000.0018837827777289,+0000.2367820763608708
+0000.6903278831004345,+0000.0547724786871698,+0000.0021655021611504,+0000.2527341360512451
+0000.6708132546628385,+0000.0578626353750473,+0000.0024012941731961,+0000.2689228157889180
+0000.6511034144837258,+0000.0611123289100045,+0000.0024689918838911,+0000.2853152647223784
+0000.6312360812198609,+0000.0644689301057620,+0000.0024163439761205,+0000.3018786446982565
+0000.6112502222346849,+0000.0677499282255410,+0000.0024196421849136,+0000.3185802073548601
+0000.5911893060820583,+0000.0708189353454030,+0000.0026043262826262,+0000.3353874322899122
